district,current_total,proposed_total,current_agg_assault,proposed_agg_assault,current_homicide,proposed_homicide,current_shooting,proposed_shooting,current_arson,proposed_arson,current_burglary,proposed_burglary,current_common_assault,proposed_common_assault,current_larceny,proposed_larceny,current_larceny_from_auto,proposed_larceny_from_auto,current_rape,proposed_rape,current_robbery_carjacking,proposed_robbery_carjacking,current_robbery_commercial,proposed_robbery_commercial,current_robbery_residence,proposed_robbery_residence,current_robbery_street,proposed_robbery_street
central,11.88098003429014,13.011061946902656,11.561573591859627,12.24457087907685,5.889281507656066,7.302709069493522,9.831824062095732,9.385113268608414,9.278350515463918,9.621993127147768,10.680025580899596,10.722660413557877,12.694736842105264,13.442812779619981,13.168408113091578,15.196681007990165,12.179614544009537,14.355255314921516,13.09192200557103,15.598885793871867,7.585703865791393,7.658643326039387,15.523932729624837,17.917205692108666,8.270042194092827,7.679324894514767,15.06880216557636,16.535077825400407
eastern,8.819202477739063,10.081858407079645,10.552039099431134,11.555413093997917,13.663133097762072,14.016489988221437,15.329883570504526,13.139158576051779,11.34020618556701,12.027491408934708,8.46301428266894,10.413557876785335,9.878947368421052,10.17948313069109,7.252612169637369,8.553575087072321,7.8780051659050265,8.652890919928472,8.913649025069638,9.749303621169917,7.075127644055435,10.576221735959153,7.309184993531695,10.413971539456663,7.848101265822785,11.476793248945148,9.587187006541845,13.016016241822692
northeastern,13.789060339582987,10.466814159292035,14.926688566621266,10.689959131340652,10.365135453474677,6.595995288574794,10.025873221216042,7.055016181229773,17.525773195876287,15.120274914089347,14.293327648688978,10.7866126625453,12.926315789473684,9.937365124480236,12.026224134398689,9.270641262036468,13.838664812239221,11.32525332803497,13.370473537604457,10.167130919220057,17.432530999270604,13.420860685630926,15.006468305304011,10.34928848641656,24.050632911392405,18.48101265822785,13.579968418678096,9.812767877284006
northern,10.37553232675184,10.334070796460177,8.757311112891596,9.271576248096803,5.1825677267373385,7.656065959952886,6.274256144890039,8.349514563106796,8.24742268041237,8.934707903780069,9.774035386911105,10.029844382860798,9.678947368421053,9.721564292857519,13.163286211841834,12.42061053062897,10.530498708523742,9.517186568646931,10.86350974930362,10.724233983286908,12.837345003646975,13.129102844638949,13.777490297542045,13.90685640362225,9.957805907172995,11.054852320675106,8.775095871870066,8.05323708549515
northwestern,10.503843813948343,10.853982300884955,10.255588494511658,10.409487939738762,13.074204946996467,12.249705535924617,10.478654592496765,9.838187702265373,10.309278350515463,10.996563573883162,14.325303773182691,14.815604348752931,9.284210526315789,10.016316648244644,9.608686744519565,10.3359967219832,9.109874826147427,9.705940790780847,9.47075208913649,9.47075208913649,13.129102844638949,12.983223924142962,12.03104786545925,11.319534282018111,12.405063291139239,11.814345991561181,8.933002481389577,8.707421610647417
southeastern,13.442840550854488,12.358407079646017,10.04727185321689,10.161070598605658,7.773851590106007,7.773851590106007,8.15006468305304,9.449838187702266,8.59106529209622,8.934707903780069,11.95907056064805,11.202302280963547,12.452631578947368,11.74272330122638,16.15959844294202,14.018643720549068,18.18994635406318,16.352076296443474,14.066852367688023,12.534818941504177,9.773887673231219,7.804522246535376,14.877102199223804,13.971539456662354,6.4978902953586495,6.751054852320674,16.647868260771485,13.647642679900745
southern,11.845583761960068,11.73783185840708,10.984696739043345,10.705986056575046,13.898704358068315,10.71849234393404,12.354463130659767,11.521035598705502,14.0893470790378,12.371134020618557,10.871882327861863,9.923257301215092,10.805263157894737,10.932154323911785,12.456463839377177,13.071091989346446,14.534075104311544,14.305583151202066,10.86350974930362,10.027855153203342,13.202042304886943,11.962071480671042,8.408796895213454,10.672703751617076,10.126582278481013,10.126582278481013,11.098578840514325,9.745093616061357
southwestern,11.234998064266357,10.254424778761063,12.507010656197421,11.771776584662232,15.547703180212014,19.081272084805654,13.90685640362225,15.46925566343042,11.34020618556701,12.027491408934708,11.351524195267533,11.010445534001278,13.063157894736843,11.479551555345017,10.120876869493955,8.261626715836918,8.414464534075105,7.838267434929466,10.86350974930362,11.002785515320335,10.430342815463165,10.649161196207148,8.796895213454075,5.692108667529108,12.405063291139239,10.548523206751055,8.481840739905257,9.474396571170765
western,8.107958630606714,10.901548672566372,10.407819886227065,13.190159467906081,14.605418138987044,14.605418138987044,13.648124191461836,15.792880258899677,9.278350515463918,9.965635738831615,8.281816243871242,11.095715199317842,9.215789473684211,12.54802884362335,6.043843474697807,8.871132964556443,5.324855950725214,7.94754619511226,8.495821727019498,10.724233983286908,8.533916849015318,11.816192560175056,4.269081500646831,5.75679172056921,8.438818565400844,12.067510548523206,7.827656214752989,11.008346492217461
